Gene	Gene_Name	Log10_Pvalue	Log_fold_change
ENSG00000256566	RP4-734P14.4	-2.979	4.586
ENSG00000236675	MTX1P1	-6.680	4.167
ENSG00000181625	SLX1B	-6.327	3.730
ENSG00000234857	HNRNPUL2-BSCL2	-3.076	2.837
ENSG00000186395	KRT10	-205.385	2.725
ENSG00000230076	RPL10P6	-1.626	2.315
ENSG00000276345	AC004556.1	-3.974	2.127
ENSG00000160201	U2AF1	-11.329	2.121
ENSG00000164687	FABP5	-265.217	1.980
ENSG00000116741	RGS2	-137.862	1.948
ENSG00000131747	TOP2A	-173.671	1.790
ENSG00000184076	UQCR10	-194.627	1.787
ENSG00000113083	LOX	-137.342	1.757
ENSG00000234964	FABP5P7	-24.296	1.694
ENSG00000087586	AURKA	-94.222	1.650
ENSG00000147419	CCDC25	-149.482	1.633
ENSG00000120738	EGR1	-47.191	1.614
ENSG00000196139	AKR1C3	-130.267	1.611
ENSG00000236060	HSPB1P1	-2.391	1.588
ENSG00000210082	MT-RNR2	-127.939	1.559
ENSG00000211459	MT-RNR1	-146.278	1.521
ENSG00000235174	RPL39P3	-2.507	1.514
ENSG00000164032	H2AFZ	-144.910	1.482
ENSG00000109133	TMEM33	-115.371	1.478
ENSG00000011198	ABHD5	-44.364	1.470
ENSG00000140450	ARRDC4	-44.045	1.433
ENSG00000163993	S100P	-40.766	1.411
ENSG00000107159	CA9	-18.874	1.395
ENSG00000168447	SCNN1B	-53.496	1.390
ENSG00000158716	DUSP23	-57.251	1.376
ENSG00000172819	RARG	-112.757	1.353
ENSG00000027697	IFNGR1	-95.092	1.343
ENSG00000236439	RP11-175B9.3	-3.971	1.337
ENSG00000135069	PSAT1	-69.848	1.332
ENSG00000132613	MTSS1L	-60.568	1.323
ENSG00000102743	SLC25A15	-31.207	1.302
ENSG00000115541	HSPE1	-126.015	1.295
ENSG00000134757	DSG3	-112.301	1.288
ENSG00000167552	TUBA1A	-69.051	1.264
ENSG00000136108	CKAP2	-110.262	1.257
ENSG00000106211	HSPB1	-72.482	1.251
ENSG00000177508	IRX3	-30.641	1.245
ENSG00000123364	HOXC13	-31.775	1.231
